feature,SHAP_Importance
TT_21206,0.6354939644839079
FT_28012,0.22479211028082025
PT_21200,0.2190312788420064
PDT_21012,0.1671746525415355
TT_24006,0.14862042461957226
VMT_21201,0.12681615636110322
PDT_27040,0.11583874793103748
TT_21210,0.09540708805356696
VMT_24000,0.09189360427073064
PT_31490,0.09037980939473432
TT_31452,0.08537875005245214
PDT_27030,0.08398984545350079
PT_29008,0.07882808699216154
PT_31602,0.06954950072646143
PT_21010,0.06425210337655897
FT_27000,0.06304193860292433
PT_21004,0.05548194110955516
TT_31601,0.05472236791184965
M_24000,0.05372968446884835
TT_31401,0.04839070220640725
PDT_27000,0.04656901504772051
TT_27040,0.046492569171871466
FT_28011,0.0459610285879884
TT_33602,0.04471566326567099
PT_24001,0.04429061374442917
VMT_24001,0.039420569815465364
FT_28003,0.03029751044443672
PT_24003,0.022929476779188402
TT_33601,0.0208150440633297
FT_28010,0.017869363324982783
TT_31602,0.014969576582057139
PT_24000,0.009731144824879507
PT_24099,0.008169183173860815
VMT_21200,0.0030049406400748727
TT_21204,0.0
PT_29005,0.0
TT_21208,0.0
TT_33103,0.0
TT_34103,0.0
TT_24008,0.0
TT_24000,0.0
TT_27030,0.0
TT_27020,0.0
TT_31491,0.0
TT_24004,0.0
TT_24002,0.0
TT_21000,0.0
TT_21202,0.0
TT_21200,0.0
TT_24010,0.0
